trust_type,trust_name,system_name,user_category,sus_score,csus_score,review_positive_text,review_negative_text,,,
Clinical Commissioning Group (CCG - Primary Care - England),,EMIS Web (EMIS Health),Primary Care Doctor - GP,87.5,50,gread depth of granularity pver the clinical record. Allows for detailed records,EMIS needs to be more agile in its development cycle and more responsive to user-reported errors. The end-user can feel far too distanced from the company and where there are obvious significant errors or omissions in the software there needs to be a much more responsive interaction between the company and the end users.,,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),"Physiotherapy, OT, Medical Technicians",22.5,0,"The fact that it is electronic - the information (when and if you can locate it) is legible, plus it avoids the issue of looosing /storing paper notes","The Paris sytem is n ot users friendly. One of the main problems is that once the information is uplaodede into the system, is extremeley difficult and very very time consuming to locate, if it can be located at all. Also it is incabale of talking to other IT systems. If I had a choice I would scrap and use to amuch more user friendlt system, this sytem is very not fit for purpose, complete wast of tax payers money.",,,
Mental Health Foundation Trust,North East London NHS Foundation Trust,Kodak R4 (Carestream Dental),community dentist,57.5,30,clarity of graphics,relatioship to items on NHS dentistry descriptions and treatment items,,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),clinical nurse,27.5,15,,"make it easier to navigate, make able to record activity without having to click numerous boxes, stop it freezing so often, make it possible to change font size, make it support the work of clinicans rathewr than clinicaisn having to work around Paris.",,,
Community Trust,Bridgewater Community Healthcare NHS Foundation Trust,Software of Excellence (Henry Schein),Dentist,55,15,Once trained it is relatively easy to use. Appointment booking system is good.,Everybody uses the system slightly differently and there are too many boxes and letters use. you spend more time on the computer than with the patient. Needs streamlining,,,
Acute Foundation Trust,University Hospitals Of Morecambe Bay NHS Foundation Trust,Lorenzo (CSC),Midwife,22.5,2.5,Good search functions,Too much to say here...declutter front screens/ enable clearer screen layout. Allow integration with other exsisting systems. ,,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),Secondary / Tertiary Care Doctor,35,7.5,"The fact it is available in an electronic format, and hence available every where in trust","Definite demarcation needed between various sections, like in the paper medical notes.
Getting one clinic letter may take a very long time as they can appear under various sections ( letters, case note, treatment etc).
Also there is no place for ECGs or test results( that can be extracted from system)",,,
Mental Health Foundation Trust,Leeds and York Partnership NHS Foundation Trust,Paris (Civica),Social Worker,52.5,22.5,Adding information is a quick process making writing up notes relatively painless.,The 'Inbox' currently breaches information governance as it does not show the name of the individual in the message until you access their file. This leads to users accessing patient's files who they are not associated with and potentially accessing information they should not be seeing.,,,
Clinical Commissioning Group (CCG - Primary Care - England),,EMIS Web (EMIS Health),IT or Technical Staff,77.5,35,Hosted good interface and a lot of functionality ,More integration with other systems , faster evaluation and completion requests for development ,,
Mental Health Foundation Trust,Hertfordshire Partnership NHS Foundation Trust,Paris (Civica),Primary Care Doctor - GP,30,22.5,better than the last awful system we had! (careNotes) and has potential,"1) there needs to be front-facing summary page with clear presentation of clinical diagnoses - properly showing terms and codes (using SNOMED-CT)
2) there needs to be front-facing summary page with clear presentation of medication - properly showing doses
3) Attachments need to be readily accessible
(currently hidden in an obscure corner of the system)
4) The narrative of consultations within the EPR is confusing and unclear. Needs to have a more useful view/filtering
5) There needs to be an embedded SCR viewer (...we are on a older version of PARIS - I think later versions have this?). This must be able to render view of SCR v2.1 ('Additional Information')
6) There needs to be an embedded MIG viewer
7) One should be able to sign on using Single Sign On process - using NHS SmartCards
8) PARIS needs to be able to connect to PDS Spine for demographic check
9) PARIS needs to be able to receive messaging (eg coded pathology results, radiology results) via interop with Order COmms (such as Sunquest ICE) and fie in approprate place in the record - coded with SNOMED-CT. Also need to be able to order path tests through interop with order comms
10) PARIS needs to be able to render and send appropriate electronic documents (such as casenotes from clinic, discharge summaries) and interop with software such as DOCMAN, and be able to be sent direct via @nhs.net email
11) Needs interop with SMS texting for patients to remind re appointments (and needs an appointment module)
12) Needs to have Patient Services - for patient access to their own PARIS-held record. Will need appropriate option for dealing with sensitive issues and redaction possibilities
13) Civica needs to develop an dopen API to allow interoperability with other clinical and care record systems(eg GPSoC systems, Liquid Logic)",,,
Clinical Commissioning Group (CCG - Primary Care - England),,PCTI Docman,Primary Care Doctor - GP,62.5,40,integrates fairly well with GPSoC Lot1 Core Clinical System,"1) re-design of the User Interface in some areas of the systm. Not intuitive and messy screens
2) improve the API interface with EMIS - still is very slow and the docman frame is separate to EMISweb
3) ensure that a Cloud backup of the image fies is part of the CORE product
",,,
Clinical Commissioning Group (CCG - Primary Care - England),,Adastra (Advanced Health & Care),Primary Care Doctor - GP,65,20,for basic use - is simple,"1) the user interface for recording clinical info is apalling - messy
2) it is very difficult ot view previous contacts within the system (ie old care episodes).
3) far too easy for the system to have multiple patient records for same person. Even when PDS matchin is performed duplication is still a problem
",,,
Clinical Commissioning Group (CCG - Primary Care - England),,SystmOne GP (TPP),Primary Care Doctor - GP,7.5,2.5,"The search module
User defined alerts and popups","Simplify and standardise the front end
Focus less on functions and more on the most common processes a user needs to follow
Make the interface consistent, buttons are inconsistently placed and utilised
Don't rely on the end user to customise their interface - it takes too much time and requires an already high level of knowledge. Therefore most novices have a clunky unsafe and inefficient interface
Simplify how information is shared between services, particularly repeat medications, altering one provided by another service is slow and dangerous
The document interface is straight out of the 1990s, correctly filing then finding documents is fraught with problems 
Employ a team of user experience designers, asap!",,,
Acute Foundation Trust,Royal Devon and Exeter NHS Foundation Trust,Swift (Hewlett-Packard),Midwife,75,22.5,"Simple to use
Easy to retrieve statistics & audit data","Bin it! 
30+ year old green screen technology, keyboard only no mouse functionality.
No interoperability, no direct link to NN4B.
Expensive to implement any changes. 
Difficult to support PBR, 
",,,
Mental Health Foundation Trust,Central and North West London NHS Foundation Trust,Jade,Secondary / Tertiary Care Doctor,32.5,42.5,rapid navigation through the record with few clicks,greater availability of fields to pull throughs in letters/documents - only some are available limiting our ability to produce documents,,,
Acute Trust (non-Foundation),Plymouth Hospitals NHS Trust,i.PM (CSC),IT or Technical Staff,62.5,12.5,Interface ,"




",,,
Mental Health Foundation Trust,East London NHS Foundation Trust,RiO (Servelec Healthcare),Psychologist,70,37.5,,,,,
Community Trust,OtherEast of England Ambulance Service NHS TrustNHS NORTH NORFOLK CCG,Medusa Siren,"Physiotherapy, OT, Medical Technicians",42.5,17.5,"Allows for additional notes to be recorded moreso than within our paper notes system, allows for records to be shared electronically with a general practicioner","The software could be designed in a way that helps clinicians, rather than a way which makes auditing easy. There are far too many checkboxes, which is detrimental as they are often left blank - a better system would still have some checkboxes but would encourage more freetext documentation, which is important to ensure clarity.

I would ensure feedback that a PCR has been sent to a GP, and I'd enable access to patient's previous care episodes, as well as summary care record and PDS integration to allow for patient information to be confirmed. This can be particularly useful in acutely unwell patients as information regarding allergies and past medical history can significantly alter treatment.",,,
Mental Health Foundation Trust,Dorset Healthcare University NHS Foundation Trust,RiO (Servelec Healthcare),"Community Nurse - School Nurse, Health Visitor etc",12.5,17.5,I used to like RIO to RIO but its been got rid of . There is not much else to like ,"make it faster and more reliable and less clunky.

Make it flow -e.g it takes a long time to do care plans because it takes ages to save between problems and interventions. Also the risk assessment has to have boxes marked before it can be saved which is not helpful if you get a call about another patient and have to go into there record 

bring back rio to rio it was the only useful part as could access records if patients were from another RIO area  ",,,
Clinical Commissioning Group (CCG - Primary Care - England),,SystmOne GP (TPP),Nurse & Commissioner ,40,20,It links GP with CHISystem using TPPSytm,It needs to be more interoperable with other CHISystems and they need to share their APIs,,,
